Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : path, 		Predicted : path, 		Log of likelihood : -55.62
Expected : path, 		Predicted : path, 		Log of likelihood : -56.88
Expected : window, 		Predicted : window, 		Log of likelihood : -58.28
Expected : window, 		Predicted : window, 		Log of likelihood : -58.61
Expected : window, 		Predicted : window, 		Log of likelihood : -58.71
Expected : window, 		Predicted : window, 		Log of likelihood : -64.61
Expected : path, 		Predicted : path, 		Log of likelihood : -52.55
Expected : path, 		Predicted : path, 		Log of likelihood : -61.47
Expected : window, 		Predicted : window, 		Log of likelihood : -61.89
Expected : window, 		Predicted : window, 		Log of likelihood : -61.46
Expected : path, 		Predicted : path, 		Log of likelihood : -57.48
Expected : window, 		Predicted : window, 		Log of likelihood : -58.15
Expected : path, 		Predicted : path, 		Log of likelihood : -57.22
Expected : path, 		Predicted : path, 		Log of likelihood : -54.46
Expected : window, 		Predicted : window, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : window, 		Predicted : window, 		Log of likelihood : -58.17
Expected : path, 		Predicted : path, 		Log of likelihood : -55.09
Expected : path, 		Predicted : path, 		Log of likelihood : -54.83
Expected : window, 		Predicted : window, 		Log of likelihood : -59.97
Expected : path, 		Predicted : path, 		Log of likelihood : -58.40
Expected : path, 		Predicted : path, 		Log of likelihood : -54.90
Expected : window, 		Predicted : window, 		Log of likelihood : -59.09
Expected : path, 		Predicted : path, 		Log of likelihood : -56.29
Expected : path, 		Predicted : path, 		Log of likelihood : -56.07
Expected : path, 		Predicted : path, 		Log of likelihood : -58.62
Expected : window, 		Predicted : window, 		Log of likelihood : -58.37
Expected : window, 		Predicted : window, 		Log of likelihood : -61.65
Expected : path, 		Predicted : path, 		Log of likelihood : -56.66
Expected : window, 		Predicted : window, 		Log of likelihood : -57.62
Expected : path, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : path, 		Log of likelihood : -58.90


Era 5
Expected : window, 		Predicted : window, 		Log of likelihood : -57.78
Expected : path, 		Predicted : path, 		Log of likelihood : -56.85
Expected : window, 		Predicted : window, 		Log of likelihood : -63.49
Expected : window, 		Predicted : window, 		Log of likelihood : -63.59
Expected : path, 		Predicted : path, 		Log of likelihood : -64.26
Expected : window, 		Predicted : window, 		Log of likelihood : -58.06
Expected : window, 		Predicted : window, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -58.53
Expected : window, 		Predicted : window, 		Log of likelihood : -57.70
Expected : path, 		Predicted : path, 		Log of likelihood : -54.50
Expected : path, 		Predicted : path, 		Log of likelihood : -56.39
Expected : window, 		Predicted : window, 		Log of likelihood : -59.01
Expected : path, 		Predicted : path, 		Log of likelihood : -57.18
Expected : window, 		Predicted : window, 		Log of likelihood : -62.75
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : path, 		Predicted : path, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -66.59
Expected : path, 		Predicted : path, 		Log of likelihood : -59.27
Expected : path, 		Predicted : path, 		Log of likelihood : -54.32
Expected : window, 		Predicted : window, 		Log of likelihood : -57.33
Expected : path, 		Predicted : path, 		Log of likelihood : -58.59
Expected : path, 		Predicted : path, 		Log of likelihood : -55.95
Expected : path, 		Predicted : path, 		Log of likelihood : -54.98
Expected : window, 		Predicted : window, 		Log of likelihood : -99.22
Expected : path, 		Predicted : path, 		Log of likelihood : -57.02
Expected : path, 		Predicted : path, 		Log of likelihood : -61.43
Expected : window, 		Predicted : path, 		Log of likelihood : -57.27
Expected : window, 		Predicted : window, 		Log of likelihood : -68.18
Expected : path, 		Predicted : path, 		Log of likelihood : -53.92
Expected : path, 		Predicted : path, 		Log of likelihood : -53.97
Expected : window, 		Predicted : window, 		Log of likelihood : -56.82
Expected : path, 		Predicted : path, 		Log of likelihood : -55.09
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -57.05
Expected : path, 		Predicted : window, 		Log of likelihood : -63.53
Expected : window, 		Predicted : window, 		Log of likelihood : -58.81
Expected : path, 		Predicted : window, 		Log of likelihood : -68.74
Expected : path, 		Predicted : path, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -66.78
Expected : window, 		Predicted : window, 		Log of likelihood : -67.30
Expected : window, 		Predicted : window, 		Log of likelihood : -56.26
Expected : window, 		Predicted : window, 		Log of likelihood : -56.12
Expected : path, 		Predicted : path, 		Log of likelihood : -55.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.49
Expected : window, 		Predicted : window, 		Log of likelihood : -57.59
Expected : window, 		Predicted : window, 		Log of likelihood : -58.12
Expected : path, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.09
Expected : window, 		Predicted : window, 		Log of likelihood : -56.59
Expected : window, 		Predicted : window, 		Log of likelihood : -67.39
Expected : path, 		Predicted : path, 		Log of likelihood : -56.73
Expected : path, 		Predicted : path, 		Log of likelihood : -55.10
Expected : window, 		Predicted : window, 		Log of likelihood : -63.57
Expected : path, 		Predicted : path, 		Log of likelihood : -58.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.64
Expected : window, 		Predicted : window, 		Log of likelihood : -60.83
Expected : path, 		Predicted : path, 		Log of likelihood : -59.38
Expected : path, 		Predicted : path, 		Log of likelihood : -53.54
Expected : path, 		Predicted : path, 		Log of likelihood : -59.98
Expected : path, 		Predicted : path, 		Log of likelihood : -77.66
Expected : window, 		Predicted : window, 		Log of likelihood : -58.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.94
Expected : window, 		Predicted : window, 		Log of likelihood : -58.34
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : path, 		Predicted : path, 		Log of likelihood : -55.27
Expected : path, 		Predicted : path, 		Log of likelihood : -55.38
Expected : path, 		Predicted : path, 		Log of likelihood : -54.46
Expected : window, 		Predicted : window, 		Log of likelihood : -57.38
Expected : path, 		Predicted : path, 		Log of likelihood : -64.99
Expected : window, 		Predicted : window, 		Log of likelihood : -58.00
Expected : path, 		Predicted : path, 		Log of likelihood : -56.16
Expected : window, 		Predicted : window, 		Log of likelihood : -61.06
Expected : window, 		Predicted : path, 		Log of likelihood : -56.53
Expected : path, 		Predicted : path, 		Log of likelihood : -55.63
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -56.30
Expected : path, 		Predicted : path, 		Log of likelihood : -55.31
Expected : path, 		Predicted : path, 		Log of likelihood : -63.08
Expected : window, 		Predicted : window, 		Log of likelihood : -57.33
Expected : window, 		Predicted : window, 		Log of likelihood : -57.10
Expected : path, 		Predicted : path, 		Log of likelihood : -55.55
Expected : window, 		Predicted : window, 		Log of likelihood : -67.85
Expected : path, 		Predicted : path, 		Log of likelihood : -61.60
Expected : path, 		Predicted : path, 		Log of likelihood : -53.69
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : window, 		Predicted : window, 		Log of likelihood : -63.27
Expected : window, 		Predicted : window, 		Log of likelihood : -57.50
Expected : path, 		Predicted : path, 		Log of likelihood : -65.95
Expected : window, 		Predicted : window, 		Log of likelihood : -117.10
Expected : path, 		Predicted : path, 		Log of likelihood : -58.70
Expected : path, 		Predicted : path, 		Log of likelihood : -68.24
Expected : path, 		Predicted : window, 		Log of likelihood : -65.19
Expected : window, 		Predicted : window, 		Log of likelihood : -59.12
Expected : path, 		Predicted : path, 		Log of likelihood : -59.85
Expected : path, 		Predicted : path, 		Log of likelihood : -56.87
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : path, 		Predicted : path, 		Log of likelihood : -56.50
Expected : window, 		Predicted : window, 		Log of likelihood : -60.18
Expected : path, 		Predicted : path, 		Log of likelihood : -55.34
Expected : window, 		Predicted : window, 		Log of likelihood : -66.84
Expected : window, 		Predicted : window, 		Log of likelihood : -57.78
Expected : path, 		Predicted : path, 		Log of likelihood : -56.85
Expected : window, 		Predicted : window, 		Log of likelihood : -63.49
Expected : window, 		Predicted : window, 		Log of likelihood : -63.59
Expected : path, 		Predicted : path, 		Log of likelihood : -64.26
Expected : window, 		Predicted : window, 		Log of likelihood : -58.06
Expected : window, 		Predicted : window, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -58.53
Expected : window, 		Predicted : window, 		Log of likelihood : -57.70
Expected : path, 		Predicted : path, 		Log of likelihood : -54.50
Expected : path, 		Predicted : path, 		Log of likelihood : -56.39
Expected : window, 		Predicted : window, 		Log of likelihood : -59.01
Expected : path, 		Predicted : path, 		Log of likelihood : -57.18
Expected : window, 		Predicted : window, 		Log of likelihood : -62.75
Expected : window, 		Predicted : window, 		Log of likelihood : -58.70
Expected : path, 		Predicted : path, 		Log of likelihood : -56.91
Expected : window, 		Predicted : window, 		Log of likelihood : -66.59
Expected : path, 		Predicted : path, 		Log of likelihood : -59.27
Expected : path, 		Predicted : path, 		Log of likelihood : -54.32
Expected : window, 		Predicted : window, 		Log of likelihood : -57.33
Expected : path, 		Predicted : path, 		Log of likelihood : -58.59
Expected : path, 		Predicted : path, 		Log of likelihood : -55.95
Expected : path, 		Predicted : path, 		Log of likelihood : -54.98
Expected : window, 		Predicted : window, 		Log of likelihood : -99.22
Expected : path, 		Predicted : path, 		Log of likelihood : -57.02
Expected : path, 		Predicted : path, 		Log of likelihood : -61.43
Expected : window, 		Predicted : path, 		Log of likelihood : -57.27
Expected : window, 		Predicted : window, 		Log of likelihood : -68.18
Expected : path, 		Predicted : path, 		Log of likelihood : -53.92
Expected : path, 		Predicted : path, 		Log of likelihood : -53.97
Expected : window, 		Predicted : window, 		Log of likelihood : -56.82
Expected : path, 		Predicted : path, 		Log of likelihood : -55.09
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -57.05
Expected : path, 		Predicted : window, 		Log of likelihood : -63.53
Expected : window, 		Predicted : window, 		Log of likelihood : -58.81
Expected : path, 		Predicted : window, 		Log of likelihood : -68.74
Expected : path, 		Predicted : path, 		Log of likelihood : -58.48
Expected : window, 		Predicted : window, 		Log of likelihood : -66.78
Expected : window, 		Predicted : window, 		Log of likelihood : -67.30
Expected : window, 		Predicted : window, 		Log of likelihood : -56.26
Expected : window, 		Predicted : window, 		Log of likelihood : -56.12
Expected : path, 		Predicted : path, 		Log of likelihood : -55.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.49
Expected : window, 		Predicted : window, 		Log of likelihood : -57.59
Expected : window, 		Predicted : window, 		Log of likelihood : -58.12
Expected : path, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.09
Expected : window, 		Predicted : window, 		Log of likelihood : -56.59
Expected : window, 		Predicted : window, 		Log of likelihood : -67.39
Expected : path, 		Predicted : path, 		Log of likelihood : -56.73
Expected : path, 		Predicted : path, 		Log of likelihood : -55.10
Expected : window, 		Predicted : window, 		Log of likelihood : -63.57
Expected : path, 		Predicted : path, 		Log of likelihood : -58.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.64
Expected : window, 		Predicted : window, 		Log of likelihood : -60.83
Expected : path, 		Predicted : path, 		Log of likelihood : -59.38
Expected : path, 		Predicted : path, 		Log of likelihood : -53.54
Expected : path, 		Predicted : path, 		Log of likelihood : -59.98
Expected : path, 		Predicted : path, 		Log of likelihood : -77.66
Expected : window, 		Predicted : window, 		Log of likelihood : -58.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.94
Expected : window, 		Predicted : window, 		Log of likelihood : -58.34
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : path, 		Predicted : path, 		Log of likelihood : -55.27
Expected : path, 		Predicted : path, 		Log of likelihood : -55.38
Expected : path, 		Predicted : path, 		Log of likelihood : -54.46
Expected : window, 		Predicted : window, 		Log of likelihood : -57.38
Expected : path, 		Predicted : path, 		Log of likelihood : -64.99
Expected : window, 		Predicted : window, 		Log of likelihood : -58.00
Expected : path, 		Predicted : path, 		Log of likelihood : -56.16
Expected : window, 		Predicted : window, 		Log of likelihood : -61.06
Expected : window, 		Predicted : path, 		Log of likelihood : -56.53
Expected : path, 		Predicted : path, 		Log of likelihood : -55.63
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -56.30
Expected : path, 		Predicted : path, 		Log of likelihood : -55.31
Expected : path, 		Predicted : path, 		Log of likelihood : -63.08
Expected : window, 		Predicted : window, 		Log of likelihood : -57.33
Expected : window, 		Predicted : window, 		Log of likelihood : -57.10
Expected : path, 		Predicted : path, 		Log of likelihood : -55.55
Expected : window, 		Predicted : window, 		Log of likelihood : -67.85
Expected : path, 		Predicted : path, 		Log of likelihood : -61.60
Expected : path, 		Predicted : path, 		Log of likelihood : -53.69
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : window, 		Predicted : window, 		Log of likelihood : -63.27
Expected : window, 		Predicted : window, 		Log of likelihood : -57.50
Expected : path, 		Predicted : path, 		Log of likelihood : -65.95
Expected : window, 		Predicted : window, 		Log of likelihood : -117.10
Expected : path, 		Predicted : path, 		Log of likelihood : -58.70
Expected : path, 		Predicted : path, 		Log of likelihood : -68.24
Expected : path, 		Predicted : window, 		Log of likelihood : -65.19
Expected : window, 		Predicted : window, 		Log of likelihood : -59.12
Expected : path, 		Predicted : path, 		Log of likelihood : -59.85
Expected : path, 		Predicted : path, 		Log of likelihood : -56.87
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : path, 		Predicted : path, 		Log of likelihood : -56.50
Expected : window, 		Predicted : window, 		Log of likelihood : -60.18
Expected : path, 		Predicted : path, 		Log of likelihood : -55.34
Expected : window, 		Predicted : window, 		Log of likelihood : -66.84


Era 6
Expected : window, 		Predicted : window, 		Log of likelihood : -56.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.18
Expected : path, 		Predicted : path, 		Log of likelihood : -56.01
Expected : window, 		Predicted : window, 		Log of likelihood : -58.94
Expected : path, 		Predicted : path, 		Log of likelihood : -58.27
Expected : window, 		Predicted : window, 		Log of likelihood : -57.09
Expected : path, 		Predicted : path, 		Log of likelihood : -56.20
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -56.45
Expected : window, 		Predicted : window, 		Log of likelihood : -59.61
Expected : window, 		Predicted : window, 		Log of likelihood : -58.11
Expected : window, 		Predicted : window, 		Log of likelihood : -58.56
Expected : path, 		Predicted : path, 		Log of likelihood : -64.75
Expected : path, 		Predicted : path, 		Log of likelihood : -57.29
Expected : window, 		Predicted : window, 		Log of likelihood : -58.61
Expected : window, 		Predicted : window, 		Log of likelihood : -59.25
Expected : path, 		Predicted : path, 		Log of likelihood : -55.36
Expected : window, 		Predicted : path, 		Log of likelihood : -57.23
Expected : window, 		Predicted : window, 		Log of likelihood : -58.05
Expected : window, 		Predicted : window, 		Log of likelihood : -61.93
Expected : window, 		Predicted : window, 		Log of likelihood : -56.82
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.17
Expected : path, 		Predicted : path, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -58.20
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : window, 		Predicted : window, 		Log of likelihood : -62.42
Expected : path, 		Predicted : path, 		Log of likelihood : -61.76
Expected : path, 		Predicted : path, 		Log of likelihood : -55.93
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -65.45
Expected : window, 		Predicted : window, 		Log of likelihood : -56.71
Expected : window, 		Predicted : path, 		Log of likelihood : -55.74
Expected : window, 		Predicted : window, 		Log of likelihood : -56.05
Expected : path, 		Predicted : path, 		Log of likelihood : -54.04
Expected : window, 		Predicted : window, 		Log of likelihood : -62.60
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : path, 		Predicted : path, 		Log of likelihood : -86.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.63
Expected : path, 		Predicted : path, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -56.73
Expected : path, 		Predicted : path, 		Log of likelihood : -58.35
Expected : path, 		Predicted : path, 		Log of likelihood : -59.82
Expected : path, 		Predicted : path, 		Log of likelihood : -54.96
Expected : window, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.15
Expected : window, 		Predicted : window, 		Log of likelihood : -58.18
Expected : path, 		Predicted : window, 		Log of likelihood : -69.12
Expected : window, 		Predicted : window, 		Log of likelihood : -65.60
Expected : path, 		Predicted : path, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -58.99
Expected : window, 		Predicted : path, 		Log of likelihood : -56.40
Expected : path, 		Predicted : path, 		Log of likelihood : -57.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.52
Expected : path, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.02
Expected : path, 		Predicted : path, 		Log of likelihood : -55.03
Expected : window, 		Predicted : window, 		Log of likelihood : -65.71
Expected : path, 		Predicted : path, 		Log of likelihood : -58.37
Expected : path, 		Predicted : path, 		Log of likelihood : -53.90
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : window, 		Predicted : window, 		Log of likelihood : -61.21
Expected : window, 		Predicted : window, 		Log of likelihood : -57.58
Expected : path, 		Predicted : path, 		Log of likelihood : -55.18
Expected : window, 		Predicted : window, 		Log of likelihood : -58.20
Expected : window, 		Predicted : window, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -58.36
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : path, 		Predicted : path, 		Log of likelihood : -60.47
Expected : path, 		Predicted : path, 		Log of likelihood : -55.72
Expected : path, 		Predicted : path, 		Log of likelihood : -57.50
Expected : window, 		Predicted : window, 		Log of likelihood : -57.77
Expected : window, 		Predicted : window, 		Log of likelihood : -58.34
Expected : window, 		Predicted : window, 		Log of likelihood : -63.70
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : path, 		Predicted : window, 		Log of likelihood : -64.46
Expected : path, 		Predicted : path, 		Log of likelihood : -59.63
Expected : path, 		Predicted : path, 		Log of likelihood : -63.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.14
Expected : window, 		Predicted : window, 		Log of likelihood : -56.58
Expected : path, 		Predicted : path, 		Log of likelihood : -53.58
Expected : path, 		Predicted : path, 		Log of likelihood : -55.97
Expected : path, 		Predicted : path, 		Log of likelihood : -55.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : window, 		Predicted : window, 		Log of likelihood : -56.51
Expected : window, 		Predicted : window, 		Log of likelihood : -58.75
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : path, 		Predicted : path, 		Log of likelihood : -56.80
Expected : path, 		Predicted : path, 		Log of likelihood : -56.84
Expected : path, 		Predicted : path, 		Log of likelihood : -56.99
Expected : path, 		Predicted : path, 		Log of likelihood : -59.99
Expected : path, 		Predicted : path, 		Log of likelihood : -56.32
Expected : path, 		Predicted : path, 		Log of likelihood : -56.98
Expected : path, 		Predicted : window, 		Log of likelihood : -67.57
Expected : window, 		Predicted : window, 		Log of likelihood : -58.39
Expected : window, 		Predicted : path, 		Log of likelihood : -56.31
Expected : path, 		Predicted : path, 		Log of likelihood : -54.63
Expected : path, 		Predicted : path, 		Log of likelihood : -62.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.52
Expected : path, 		Predicted : path, 		Log of likelihood : -58.64
Expected : window, 		Predicted : window, 		Log of likelihood : -56.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.18
Expected : path, 		Predicted : path, 		Log of likelihood : -56.01
Expected : window, 		Predicted : window, 		Log of likelihood : -58.94
Expected : path, 		Predicted : path, 		Log of likelihood : -58.27
Expected : window, 		Predicted : window, 		Log of likelihood : -57.09
Expected : path, 		Predicted : path, 		Log of likelihood : -56.20
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -56.45
Expected : window, 		Predicted : window, 		Log of likelihood : -59.61
Expected : window, 		Predicted : window, 		Log of likelihood : -58.11
Expected : window, 		Predicted : window, 		Log of likelihood : -58.56
Expected : path, 		Predicted : path, 		Log of likelihood : -64.75
Expected : path, 		Predicted : path, 		Log of likelihood : -57.29
Expected : window, 		Predicted : window, 		Log of likelihood : -58.61
Expected : window, 		Predicted : window, 		Log of likelihood : -59.25
Expected : path, 		Predicted : path, 		Log of likelihood : -55.36
Expected : window, 		Predicted : path, 		Log of likelihood : -57.23
Expected : window, 		Predicted : window, 		Log of likelihood : -58.05
Expected : window, 		Predicted : window, 		Log of likelihood : -61.93
Expected : window, 		Predicted : window, 		Log of likelihood : -56.82
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : path, 		Predicted : path, 		Log of likelihood : -57.17
Expected : path, 		Predicted : path, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -58.20
Expected : path, 		Predicted : path, 		Log of likelihood : -59.79
Expected : window, 		Predicted : window, 		Log of likelihood : -62.42
Expected : path, 		Predicted : path, 		Log of likelihood : -61.76
Expected : path, 		Predicted : path, 		Log of likelihood : -55.93
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -65.45
Expected : window, 		Predicted : window, 		Log of likelihood : -56.71
Expected : window, 		Predicted : path, 		Log of likelihood : -55.74
Expected : window, 		Predicted : window, 		Log of likelihood : -56.05
Expected : path, 		Predicted : path, 		Log of likelihood : -54.04
Expected : window, 		Predicted : window, 		Log of likelihood : -62.60
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : path, 		Predicted : path, 		Log of likelihood : -86.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.63
Expected : path, 		Predicted : path, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -56.73
Expected : path, 		Predicted : path, 		Log of likelihood : -58.35
Expected : path, 		Predicted : path, 		Log of likelihood : -59.82
Expected : path, 		Predicted : path, 		Log of likelihood : -54.96
Expected : window, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -58.15
Expected : window, 		Predicted : window, 		Log of likelihood : -58.18
Expected : path, 		Predicted : window, 		Log of likelihood : -69.12
Expected : window, 		Predicted : window, 		Log of likelihood : -65.60
Expected : path, 		Predicted : path, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -58.99
Expected : window, 		Predicted : path, 		Log of likelihood : -56.40
Expected : path, 		Predicted : path, 		Log of likelihood : -57.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.52
Expected : path, 		Predicted : path, 		Log of likelihood : -56.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.02
Expected : path, 		Predicted : path, 		Log of likelihood : -55.03
Expected : window, 		Predicted : window, 		Log of likelihood : -65.71
Expected : path, 		Predicted : path, 		Log of likelihood : -58.37
Expected : path, 		Predicted : path, 		Log of likelihood : -53.90
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : window, 		Predicted : window, 		Log of likelihood : -61.21
Expected : window, 		Predicted : window, 		Log of likelihood : -57.58
Expected : path, 		Predicted : path, 		Log of likelihood : -55.18
Expected : window, 		Predicted : window, 		Log of likelihood : -58.20
Expected : window, 		Predicted : window, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -58.36
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : path, 		Predicted : path, 		Log of likelihood : -60.47
Expected : path, 		Predicted : path, 		Log of likelihood : -55.72
Expected : path, 		Predicted : path, 		Log of likelihood : -57.50
Expected : window, 		Predicted : window, 		Log of likelihood : -57.77
Expected : window, 		Predicted : window, 		Log of likelihood : -58.34
Expected : window, 		Predicted : window, 		Log of likelihood : -63.70
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : path, 		Predicted : window, 		Log of likelihood : -64.46
Expected : path, 		Predicted : path, 		Log of likelihood : -59.63
Expected : path, 		Predicted : path, 		Log of likelihood : -63.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.14
Expected : window, 		Predicted : window, 		Log of likelihood : -56.58
Expected : path, 		Predicted : path, 		Log of likelihood : -53.58
Expected : path, 		Predicted : path, 		Log of likelihood : -55.97
Expected : path, 		Predicted : path, 		Log of likelihood : -55.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : window, 		Predicted : window, 		Log of likelihood : -56.51
Expected : window, 		Predicted : window, 		Log of likelihood : -58.75
Expected : path, 		Predicted : path, 		Log of likelihood : -56.71
Expected : path, 		Predicted : path, 		Log of likelihood : -56.80
Expected : path, 		Predicted : path, 		Log of likelihood : -56.84
Expected : path, 		Predicted : path, 		Log of likelihood : -56.99
Expected : path, 		Predicted : path, 		Log of likelihood : -59.99
Expected : path, 		Predicted : path, 		Log of likelihood : -56.32
Expected : path, 		Predicted : path, 		Log of likelihood : -56.98
Expected : path, 		Predicted : window, 		Log of likelihood : -67.57
Expected : window, 		Predicted : window, 		Log of likelihood : -58.39
Expected : window, 		Predicted : path, 		Log of likelihood : -56.31
Expected : path, 		Predicted : path, 		Log of likelihood : -54.63
Expected : path, 		Predicted : path, 		Log of likelihood : -62.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.52
Expected : path, 		Predicted : path, 		Log of likelihood : -58.64


Era 7
Expected : path, 		Predicted : path, 		Log of likelihood : -54.20
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : path, 		Predicted : path, 		Log of likelihood : -54.61
Expected : path, 		Predicted : path, 		Log of likelihood : -53.71
Expected : window, 		Predicted : window, 		Log of likelihood : -120.54
Expected : window, 		Predicted : window, 		Log of likelihood : -66.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.45
Expected : path, 		Predicted : path, 		Log of likelihood : -61.78
Expected : path, 		Predicted : path, 		Log of likelihood : -55.29
Expected : window, 		Predicted : window, 		Log of likelihood : -57.14
Expected : path, 		Predicted : path, 		Log of likelihood : -55.47
Expected : window, 		Predicted : window, 		Log of likelihood : -61.75
Expected : path, 		Predicted : path, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -57.24
Expected : path, 		Predicted : path, 		Log of likelihood : -55.37
Expected : path, 		Predicted : path, 		Log of likelihood : -54.94
Expected : path, 		Predicted : path, 		Log of likelihood : -54.56
Expected : window, 		Predicted : window, 		Log of likelihood : -60.79
Expected : window, 		Predicted : window, 		Log of likelihood : -66.06
Expected : window, 		Predicted : window, 		Log of likelihood : -55.51
Expected : path, 		Predicted : path, 		Log of likelihood : -54.74
Expected : path, 		Predicted : path, 		Log of likelihood : -89.23
Expected : window, 		Predicted : window, 		Log of likelihood : -59.35
Expected : window, 		Predicted : window, 		Log of likelihood : -55.56
Expected : window, 		Predicted : window, 		Log of likelihood : -56.92
Expected : window, 		Predicted : window, 		Log of likelihood : -76.01
Expected : path, 		Predicted : path, 		Log of likelihood : -55.18
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : path, 		Predicted : path, 		Log of likelihood : -55.07
Expected : path, 		Predicted : path, 		Log of likelihood : -57.25
Expected : path, 		Predicted : path, 		Log of likelihood : -54.70
Expected : window, 		Predicted : window, 		Log of likelihood : -55.93
